log_id,course_id,member_id,course_level,average_slope
1,435,7,1,6
2,66,14,4,4
3,241,1,5,3
4,857,14,4,6
5,338,5,5,4
6,209,10,2,8
7,453,14,3,3
8,633,6,1,3
9,225,13,4,5
10,92,13,5,9
11,930,11,2,5
12,702,7,1,10
13,980,6,4,9
14,58,7,5,10
15,570,2,2,5
16,806,7,1,5
17,659,8,1,6
18,268,6,2,3
19,860,2,3,10
20,440,1,4,4
21,789,7,2,3
22,87,10,2,7
23,643,13,3,10
24,1011,2,4,9
25,565,8,2,6
26,1015,6,5,5
27,415,7,2,7
28,163,10,5,6
29,525,1,2,9
30,933,14,2,7
31,540,14,4,6
32,687,13,4,10
33,717,14,3,9
34,1000,10,5,7
35,503,5,4,7
36,673,4,5,6
37,875,7,3,4
38,99,14,3,3
39,315,13,5,9
40,461,14,2,7
41,488,4,2,10
42,950,8,1,9
43,163,11,5,6
44,792,4,2,10
45,451,1,1,6
46,820,10,4,3
47,320,14,3,7
48,206,5,2,4
49,468,10,4,10
50,362,7,3,4
51,534,4,1,7
52,175,4,3,8
53,715,7,1,9
54,33,9,1,3
55,696,4,3,5
56,300,2,5,6
57,767,8,5,3
58,865,8,3,7
59,936,13,3,7
60,686,1,5,5
61,1023,7,4,7
62,900,11,4,4
63,470,5,3,3
64,155,14,1,9
65,520,1,2,5
66,239,7,2,8
67,460,1,2,4
68,864,2,2,5
69,852,13,2,10
70,230,7,1,10
71,639,10,1,6
72,237,13,1,5
73,120,7,3,7
74,54,14,1,10
75,97,9,1,7
76,238,5,4,9
77,590,9,1,7
78,176,7,1,7
79,234,11,3,5
80,973,7,3,5
81,848,14,1,8
82,397,9,2,5
83,520,4,2,5
84,121,8,2,6
85,192,9,1,7
86,573,8,3,9
87,230,5,1,10
88,624,14,5,6
89,321,9,4,10
90,774,14,3,9
91,120,8,3,7
92,128,11,1,5
93,60,8,5,10
94,350,10,3,3
95,593,2,4,6
96,468,11,4,10
97,761,13,5,6
98,381,7,2,3
99,905,11,5,7
100,818,2,1,3
101,537,9,3,6
102,46,6,3,5
103,893,14,1,8
104,569,10,4,6
105,726,6,5,4
106,856,4,5,7
107,44,13,2,8
108,761,9,5,6
109,759,1,4,10
110,349,8,4,7
111,133,13,1,8
112,224,7,5,7
113,883,5,5,3
114,280,8,3,3
115,268,1,2,3
116,289,13,4,3
117,723,11,4,5
118,1016,10,2,7
119,221,6,4,9
120,932,13,4,4
121,915,2,3,8
122,907,2,2,7
123,765,2,5,7
124,546,11,4,3
125,434,2,3,7
126,615,10,3,5
127,832,2,3,9
128,419,10,3,3
129,225,10,4,5
130,487,7,1,4
131,74,9,1,3
132,517,6,5,3
133,785,9,5,7
134,477,14,3,9
135,434,8,3,7
136,228,6,2,7
137,980,13,4,9
138,90,2,5,3
139,562,10,2,10
140,551,10,3,7
141,120,8,3,7
142,918,7,1,4
143,37,5,2,6
144,788,6,4,4
145,884,13,1,6
146,381,10,2,3
147,0,8,0,0
148,649,14,4,9
149,564,1,4,3
150,1010,7,5,6
151,573,9,3,9
152,371,4,1,9
153,915,9,3,8
154,374,11,1,6
155,841,7,1,9
156,310,11,5,5
157,87,8,2,7
158,514,8,1,4
159,412,13,2,10
160,190,5,3,10
161,44,14,2,8
162,130,14,3,9
163,306,13,3,3
164,824,11,3,9
165,368,13,1,5
166,973,13,3,5
167,891,7,2,5
168,902,4,4,10
169,259,14,3,9
170,572,7,1,10
171,581,13,3,8
172,596,8,2,8
173,119,14,4,4
174,639,8,1,6
175,839,4,3,10
176,848,5,1,8
177,635,9,2,3
178,377,13,2,3
179,582,13,5,3
180,779,2,2,7
181,217,13,1,4
182,696,10,3,5
183,866,13,2,8
184,290,7,2,9
185,641,11,4,3
186,623,1,4,8
187,574,7,5,3
188,983,2,1,10
189,388,11,3,8
190,449,13,2,10
191,322,11,3,5
192,370,8,5,10
193,884,10,1,6
194,301,1,2,10
195,861,2,5,5
196,412,6,2,10
197,167,5,2,6
198,628,8,5,7
199,817,2,4,10
200,930,13,2,5
201,553,5,2,4
202,729,9,3,10
203,106,2,2,5
204,319,11,3,8
205,797,13,1,3
206,434,11,3,7
207,196,10,4,3
208,929,8,3,8
209,870,10,3,3
210,953,4,2,6
211,437,14,3,10
212,450,13,1,5
213,817,7,4,10
214,874,14,1,6
215,368,13,1,5
216,855,13,1,5
217,595,14,2,9
218,339,11,5,4
219,1019,5,2,8
220,50,8,2,5
221,301,2,2,10
222,43,5,4,9
223,284,10,1,9
224,627,2,1,8
225,80,10,5,7
226,817,2,4,10
227,52,8,3,10
228,117,1,3,4
229,5,8,2,10
230,350,9,3,3
231,438,6,1,5
232,938,1,2,9
233,870,5,3,3
234,53,4,1,9
235,88,11,5,3
236,748,4,2,3
237,405,6,2,6
238,479,13,1,10
239,155,1,1,9
240,83,2,2,10
241,91,13,1,4
242,701,7,5,3
243,381,13,2,3
244,475,14,5,8
245,445,7,1,3
246,267,6,5,6
247,252,9,5,9
248,636,14,4,3
249,95,6,5,10
250,784,11,4,8
251,256,9,5,6
252,828,7,4,10
253,634,10,5,9
254,363,5,5,3
255,656,4,3,8
256,346,2,4,8
257,599,1,2,3
258,890,10,3,5
259,216,13,3,10
260,33,2,1,3
261,629,10,5,5
262,699,14,5,8
263,861,2,5,5
264,75,6,3,9
265,782,8,2,6
266,752,1,2,8
267,858,14,1,9
268,617,7,1,8
269,540,8,4,6
270,784,10,4,8
271,224,5,5,7
272,151,9,5,5
273,834,4,4,9
274,996,13,1,6
275,116,2,4,7
276,235,13,2,5
277,631,11,5,9
278,594,6,4,3
279,671,11,3,6
280,864,8,2,5
281,108,7,4,3
282,607,13,1,7
283,360,6,3,8
284,269,11,3,6
285,454,14,4,5
286,83,5,2,10
287,684,6,1,5
288,629,6,5,5
289,801,13,1,10
290,51,5,1,7
291,191,5,5,8
292,377,1,2,3
293,52,10,3,10
294,342,8,1,4
295,504,4,2,9
296,963,13,4,9
297,680,5,5,5
298,514,14,1,4
299,118,4,3,4
300,159,11,5,10
301,249,7,5,9
302,504,4,2,9
303,558,4,5,4
304,177,7,3,8
305,257,8,2,9
306,1014,7,1,10
307,191,7,5,8
308,661,13,5,3
309,591,13,1,8
310,62,2,4,8
311,752,5,2,8
312,634,4,5,9
313,380,8,3,4
314,671,6,3,6
315,814,9,5,4
316,683,10,2,4
317,155,6,1,9
318,898,10,2,7
319,937,6,5,9
320,496,2,4,7
321,785,1,5,7
322,784,4,4,8
323,412,1,2,10
324,871,4,1,9
325,904,4,1,4
326,89,1,4,6
327,114,1,5,8
328,704,8,1,4
329,799,1,1,10
330,892,13,1,9
331,43,4,4,9
332,918,13,1,4
333,870,9,3,3
334,522,14,1,7
335,28,5,5,25
336,948,7,1,3
337,471,4,3,4
338,366,5,1,8
339,469,7,5,5
340,376,5,5,7
341,825,4,2,4
342,144,9,2,9
343,940,5,3,8
344,274,5,2,10
345,271,6,4,4
346,474,1,3,6
347,277,6,1,8
348,660,7,4,10
349,212,9,3,10
350,283,8,2,7
351,444,10,3,10
352,1029,14,2,4
353,421,2,5,6
354,373,4,5,9
355,140,8,5,8
356,654,8,2,10
357,270,5,4,5
358,187,2,2,10
359,619,14,4,4
360,793,4,5,5
361,616,9,1,4
362,408,9,1,8
363,906,13,2,4
364,364,8,3,10
365,685,13,4,4
366,329,6,4,6
367,920,13,2,5
368,566,4,2,7
369,140,11,5,8
370,742,4,4,7
371,224,9,5,7
372,1022,9,1,6
373,622,4,4,3
374,966,14,5,3
375,1028,8,4,6
376,881,5,2,7
377,1022,9,1,6
378,77,6,1,5
379,520,1,2,5
380,42,2,3,5
381,516,14,4,3
382,557,2,3,9
383,740,13,2,3
384,459,1,3,3
385,748,2,2,3
386,439,13,4,5
387,837,13,3,6
388,810,4,2,6
389,990,11,4,4
390,818,4,1,3
391,877,11,4,4
392,726,8,5,4
393,110,5,4,7
394,372,11,4,7
395,388,9,3,8
396,714,9,4,4
397,266,14,4,6
398,29,13,3,15
399,773,14,5,8
400,547,1,5,7
401,496,6,4,7
402,920,5,2,5
