course_id,course_name,member_id,course_level,average_slope
23,Mountain Hiking Trail,7,5,20
30,Mountain Hiking Trail,14,3,15
31,Mountain Hiking Trail,14,3,15
5,현충원역 → 유림공원,5,2,7
5,현충원역 → 유림공원,1,2,7
31,Mountain Hiking Trail,6,3,15
2,궁동 → 어은동 러닝코스,1,1,5
31,Mountain Hiking Trail,11,3,15
6,봉명교 → 죽동,4,2,12
1,SSAFY 퇴근길 코스,7,2,10
6,봉명교 → 죽동,1,2,12
27,Forest Adventure,6,4,18
2,궁동 → 어은동 러닝코스,4,1,5
6,봉명교 → 죽동,4,2,12
3,한밭대 뺑뺑이 x5,6,1,8
31,Mountain Hiking Trail,6,3,15
2,궁동 → 어은동 러닝코스,6,1,5
24,Beach Walk,2,1,3
31,Mountain Hiking Trail,1,3,15
31,Mountain Hiking Trail,5,3,15
31,Mountain Hiking Trail,1,3,15
24,Beach Walk,10,1,3
29,Mountain Hiking Trail,11,3,15
3,한밭대 뺑뺑이 x5,2,1,8
24,Beach Walk,9,1,3
28,Desert Trek,7,5,25
4,유림공원 → 갑천근린공원,6,3,15
27,Forest Adventure,1,4,18
29,Mountain Hiking Trail,5,3,15
2,궁동 → 어은동 러닝코스,7,1,5
2,궁동 → 어은동 러닝코스,13,1,5
